xCoord,yCoord,1,2,3,4,5,6,7,8
0,0,-26,-71,-82,-84,-82,-72,-72,-78
0,0,-26,-71,-82,-84,-82,-72,-72,-86
0,0,-25,-71,-84,-85,-81,-71,-73,-86
0,0,-25,-71,-84,-85,-81,-74,-73,-86
0,0,-25,-71,-84,-85,-81,-74,-73,-78
0,0,-25,-71,-84,-85,-84,-74,-73,-78
0,0,-25,-71,-82,-84,-84,-74,-73,-78
0,0,-25,-71,-82,-84,-84,-74,-73,-78
0,0,-25,-71,-82,-84,-84,-74,-72,-78
0,0,-26,-71,-82,-84,-84,-74,-72,-78
0,0,-26,-71,-82,-84,-82,-72,-72,-86
0,0,-26,-71,-82,-83,-82,-72,-72,-86
0,0,-26,-86,-82,-83,-82,-72,-72,-86
0,0,-26,-86,-82,-83,-82,-72,-72,-86
0,0,-27,-72,-82,-83,-82,-71,-81,-86
0,0,-27,-72,-82,-83,-82,-71,-81,-86
0,0,-27,-72,-80,-83,-82,-71,-81,-86
0,0,-27,-72,-80,-83,-84,-71,-81,-86
0,0,-27,-72,-80,-83,-84,-71,-81,-81
0,0,-27,-86,-82,-83,-82,-72,-72,-86
0,0,-27,-86,-82,-83,-82,-71,-72,-86
0,0,-27,-86,-82,-83,-82,-71,-72,-86
0,0,-27,-72,-82,-83,-82,-71,-72,-86
0,0,-27,-72,-80,-83,-84,-71,-81,-81
0,0,-27,-82,-80,-77,-84,-71,-81,-81
0,0,-27,-82,-80,-83,-84,-71,-81,-81
0,0,-27,-82,-80,-83,-84,-71,-81,-81
0,0,-27,-82,-80,-77,-84,-71,-81,-81
0,0,-27,-82,-80,-77,-84,-71,-81,-81
0,0,-24,-82,-80,-77,-84,-71,-81,-81
0,0,-24,-82,-80,-82,-84,-71,-81,-81
0,0,-24,-82,-80,-82,-84,-81,-81,-81
0,0,-24,-82,-76,-82,-84,-81,-81,-81
0,0,-24,-82,-76,-82,-84,-81,-73,-81
0,0,-27,-70,-76,-82,-84,-70,-73,-81
0,0,-27,-70,-76,-82,-84,-70,-80,-81
0,0,-24,-82,-76,-82,-84,-81,-73,-81
0,0,-27,-70,-76,-82,-84,-77,-80,-81
0,0,-24,-82,-76,-82,-84,-70,-73,-81
0,0,-24,-82,-76,-82,-84,-81,-73,-81
0,0,-24,-70,-76,-82,-84,-77,-80,-81
0,0,-27,-82,-76,-82,-84,-70,-73,-81
0,0,-27,-82,-76,-82,-84,-70,-73,-81
0,0,-27,-82,-76,-82,-84,-70,-73,-81
0,0,-24,-70,-76,-82,-81,-77,-80,-81
0,0,-27,-82,-76,-82,-84,-70,-73,-81
0,0,-24,-70,-76,-82,-81,-77,-80,-81
0,0,-24,-70,-76,-82,-81,-77,-80,-81
0,0,-24,-70,-76,-82,-81,-77,-71,-81
0,0,-24,-70,-76,-82,-81,-77,-71,-81
0,0,-24,-70,-76,-82,-81,-77,-71,-81
0,0,-24,-70,-79,-82,-81,-77,-71,-81
0,0,-24,-70,-79,-82,-81,-77,-71,-81
0,0,-24,-80,-79,-82,-81,-77,-71,-81
0,0,-24,-80,-79,-82,-81,-77,-71,-81
0,0,-24,-80,-79,-77,-81,-77,-71,-81
0,0,-24,-80,-79,-77,-81,-77,-73,-81
0,0,-24,-80,-79,-77,-81,-75,-73,-81
0,0,-27,-80,-79,-77,-81,-75,-73,-81
0,0,-27,-80,-79,-77,-81,-75,-73,-81
0,0,-27,-71,-79,-77,-81,-75,-73,-81
0,0,-27,-71,-79,-77,-81,-75,-73,-81
0,0,-27,-69,-80,-79,-80,-76,-75,-79
0,0,-27,-71,-79,-77,-81,-75,-73,-81
0,0,-27,-71,-79,-77,-81,-75,-73,-81
0,0,-27,-71,-79,-77,-81,-75,-73,-74
0,0,-27,-69,-80,-79,-80,-76,-75,-78
0,0,-27,-72,-80,-79,-80,-76,-75,-78
0,0,-27,-72,-80,-78,-80,-76,-75,-78
0,0,-27,-72,-80,-78,-80,-76,-75,-78
0,0,-27,-72,-80,-78,-80,-76,-75,-78
0,0,-27,-72,-80,-78,-80,-76,-70,-78
0,0,-27,-67,-79,-77,-81,-75,-73,-74
0,0,-27,-67,-79,-77,-81,-75,-73,-74
0,0,-27,-67,-79,-83,-81,-75,-73,-74
0,0,-27,-67,-79,-83,-81,-76,-73,-74
0,0,-24,-74,-79,-80,-84,-76,-73,-74
0,0,-24,-67,-79,-83,-81,-76,-73,-74
0,0,-24,-67,-79,-83,-81,-76,-73,-74
0,0,-27,-67,-79,-83,-81,-75,-73,-74
0,0,-24,-67,-79,-83,-81,-76,-73,-74
0,0,-24,-74,-79,-83,-81,-76,-73,-74
0,0,-24,-74,-79,-80,-81,-76,-73,-74
0,0,-27,-74,-79,-80,-84,-76,-73,-80
0,0,-24,-74,-79,-80,-84,-76,-73,-80
0,0,-24,-74,-79,-80,-84,-76,-73,-80
0,0,-27,-74,-79,-80,-84,-76,-73,-80
0,0,-27,-74,-79,-80,-84,-76,-73,-75
0,0,-27,-74,-79,-84,-84,-76,-73,-75
0,0,-27,-74,-79,-84,-84,-76,-73,-78
0,0,-24,-74,-79,-84,-84,-76,-73,-78
0,0,-24,-74,-77,-84,-84,-76,-73,-78
0,0,-24,-74,-77,-84,-84,-76,-73,-78
0,0,-24,-74,-77,-84,-84,-76,-74,-78
0,0,-24,-74,-77,-84,-84,-76,-74,-78
0,0,-24,-74,-77,-84,-84,-76,-79,-78
0,0,-24,-72,-77,-84,-84,-76,-79,-78
0,0,-24,-72,-77,-84,-78,-76,-79,-78
0,0,-24,-72,-77,-84,-78,-76,-79,-80
0,0,-24,-72,-77,-84,-78,-76,-79,-80
0,0,-24,-72,-77,-84,-78,-76,-79,-80
0,0,-24,-73,-77,-84,-78,-76,-79,-80
0,0,-24,-73,-77,-84,-78,-76,-79,-80
0,0,-24,-73,-77,-78,-78,-76,-79,-80
0,0,-24,-73,-77,-78,-78,-71,-79,-80
0,0,-24,-73,-77,-78,-78,-71,-79,-73
0,0,-24,-73,-77,-78,-78,-71,-79,-73
0,0,-27,-73,-77,-78,-78,-71,-79,-73
0,0,-27,-73,-82,-78,-78,-71,-79,-73
0,0,-27,-73,-82,-78,-81,-71,-79,-73
0,0,-27,-73,-82,-83,-81,-71,-79,-73
0,0,-27,-73,-82,-83,-81,-71,-79,-73
0,0,-27,-73,-82,-75,-81,-71,-79,-73
0,0,-27,-73,-82,-83,-81,-71,-79,-73
0,0,-27,-73,-82,-75,-82,-71,-79,-73
0,0,-27,-73,-82,-75,-82,-71,-79,-76
0,0,-27,-73,-82,-75,-82,-71,-79,-76
0,0,-27,-73,-77,-75,-82,-71,-79,-76
0,0,-27,-71,-77,-75,-82,-71,-79,-76
0,0,-27,-71,-77,-75,-82,-71,-79,-76
0,0,-27,-71,-77,-75,-82,-71,-79,-82
